"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 08:32:02 GMT 2024","Mon Oct 21 08:32:09 GMT 2024","7129","chromium","photoTab.spec.ts","Photo tab","","","Verify uploading of invalid size file",""
"passed","Mon Oct 21 08:32:00 GMT 2024","Mon Oct 21 08:32:07 GMT 2024","7012","chromium","photoTab.spec.ts","Photo tab","","","Verify uploading of invalid file type",""
"passed","Mon Oct 21 08:31:52 GMT 2024","Mon Oct 21 08:32:02 GMT 2024","9475","chromium","main.page.spec.ts","Main page","","","Verify ""У Вас залишилися питання?"" form",""
"passed","Mon Oct 21 08:31:45 GMT 2024","Mon Oct 21 08:33:04 GMT 2024","78982","chromium","main.page.spec.ts","Main page","","","Checking ""Спецтехніка"" section on the main page",""
"passed","Mon Oct 21 08:33:13 GMT 2024","Mon Oct 21 08:33:22 GMT 2024","9126","chromium","priceTab.spec.ts","Price tab","","","Verify adding an invalid price in the ""Вартість мінімального замовлення *"" input",""
"passed","Mon Oct 21 08:31:23 GMT 2024","Mon Oct 21 08:31:28 GMT 2024","5636","chromium","generalInfoTab.spec.ts","General info tab","","","Verify model name input field",""
"passed","Mon Oct 21 08:32:46 GMT 2024","Mon Oct 21 08:32:55 GMT 2024","8876","chromium","priceTab.spec.ts","Price tab","","","Verify adding price for service",""
"passed","Mon Oct 21 08:31:37 GMT 2024","Mon Oct 21 08:31:45 GMT 2024","8594","chromium","login.spec.ts","Authorization form","","","Authorization with valid phone and password",""
"passed","Mon Oct 21 08:31:14 GMT 2024","Mon Oct 21 08:31:52 GMT 2024","37355","chromium","generalInfoTab.spec.ts","General info tab","","","Verify category section",""
"passed","Mon Oct 21 08:31:52 GMT 2024","Mon Oct 21 08:32:00 GMT 2024","7428","chromium","photoTab.spec.ts","Photo tab","","","Verify same images uploading",""
"passed","Mon Oct 21 08:33:00 GMT 2024","Mon Oct 21 08:33:08 GMT 2024","7964","chromium","priceTab.spec.ts","Price tab","","","Verify ""Назад"" button",""
"passed","Mon Oct 21 08:32:09 GMT 2024","Mon Oct 21 08:32:16 GMT 2024","7599","chromium","photoTab.spec.ts","Photo tab","","","Verify ""Далі"" button",""
"passed","Mon Oct 21 08:32:29 GMT 2024","Mon Oct 21 08:32:36 GMT 2024","7482","chromium","priceTab.spec.ts","Price tab","","","Verify ""Спосіб оплати"" section",""
"passed","Mon Oct 21 08:32:07 GMT 2024","Mon Oct 21 08:32:13 GMT 2024","6665","chromium","photoTab.spec.ts","Photo tab","","","Verify ""Назад"" button",""
"passed","Mon Oct 21 08:31:37 GMT 2024","Mon Oct 21 08:31:40 GMT 2024","3352","chromium","login.spec.ts","Authorization form","","","Authorization with invalid phone",""
"passed","Mon Oct 21 08:33:12 GMT 2024","Mon Oct 21 08:33:23 GMT 2024","11853","chromium","priceTab.spec.ts","Price tab","","","Verify ""Далі"" button",""
"passed","Mon Oct 21 08:33:16 GMT 2024","Mon Oct 21 08:33:23 GMT 2024","7115","chromium","priceTab.spec.ts","Price tab","","","Verify UI of the ""Вартість Ваших послуг *"" section",""
"passed","Mon Oct 21 08:31:47 GMT 2024","Mon Oct 21 08:31:52 GMT 2024","5337","chromium","main.page.spec.ts","Main page","","","Verify that all elements on the footer are displayed and all links are clickable",""
"passed","Mon Oct 21 08:31:14 GMT 2024","Mon Oct 21 08:31:23 GMT 2024","8619","chromium","generalInfoTab.spec.ts","General info tab","","","Verify vehicle manufacturer section",""
"passed","Mon Oct 21 08:31:28 GMT 2024","Mon Oct 21 08:31:36 GMT 2024","7954","chromium","generalInfoTab.spec.ts","General info tab","","","Verify vehicle location division",""
"passed","Mon Oct 21 08:31:14 GMT 2024","Mon Oct 21 08:31:22 GMT 2024","7865","chromium","generalInfoTab.spec.ts","General info tab","","","Verify body title and tab titles",""
"passed","Mon Oct 21 08:31:34 GMT 2024","Mon Oct 21 08:31:37 GMT 2024","2601","chromium","login.spec.ts","Authorization form","","","Authorization with empty fields",""
"passed","Mon Oct 21 08:31:41 GMT 2024","Mon Oct 21 08:31:44 GMT 2024","3390","chromium","login.spec.ts","Authorization form","","","Authorization with invalid email",""
"passed","Mon Oct 21 08:31:36 GMT 2024","Mon Oct 21 08:31:43 GMT 2024","6450","chromium","login.spec.ts","Authorization form","","","Authorization with valid email and password",""
"passed","Mon Oct 21 08:32:21 GMT 2024","Mon Oct 21 08:32:28 GMT 2024","6901","chromium","photoTab.spec.ts","Photo tab","","","Verify image uploading",""
"passed","Mon Oct 21 08:32:16 GMT 2024","Mon Oct 21 08:32:25 GMT 2024","8633","chromium","photoTab.spec.ts","Photo tab","","","Verify image moving",""
"passed","Mon Oct 21 08:32:32 GMT 2024","Mon Oct 21 08:32:39 GMT 2024","6692","chromium","photoTab.spec.ts","Photo tab","","","Verify image deleting",""
"passed","Mon Oct 21 08:31:23 GMT 2024","Mon Oct 21 08:31:29 GMT 2024","5641","chromium","generalInfoTab.spec.ts","General info tab","","","Verify description section",""
